Company,ESG Data
KARTN.E,"['Kartonsan Karton Sanayi ve Ticaret AS', '18.3', 'Low ESG Risk']"
KERVT.E,"['Kerevitas Gida Sanayi ve Ticaret AS', '26.9', 'Medium ESG Risk']"
KRVGD.E,"['Kervan Gida Sanayi ve Ticaret AS', '44.5', 'Severe ESG Risk']"
KLRHO.E,"['Kiler Holding AS', '47.1', 'Severe ESG Risk']"
KMPUR.E,"['Kimteks Poliuretan Sanayi ve Ticaret AS', '24.3', 'Medium ESG Risk']"
KZBGY.E,"['Kizilbük Gayrimenkul Yatirim Ortakligi AS', '23.9', 'Medium ESG Risk']"
KCHOL.E,"['Koç Holding A.S.', '39.1', 'High ESG Risk']"
KCAER.E,"['Kocaer Celik Sanayi ve Ticaret AS', '36.2', 'High ESG Risk']"
KONTR.E,"['Kontrolmatik Teknoloji Enerji ve Mühendislik AS', '47.5', 'Severe ESG Risk']"
KONYA.E,"['Konya Çimento Sanayii AS', '42.8', 'Severe ESG Risk']"
KORDS.E,"['Kordsa Teknik Tekstil AS', '11.2', 'Low ESG Risk']"
KOZAL.E,"['Koza Altin Isletmeleri AS', '47.6', 'Severe ESG Risk']"
KOZAA.E,"['Koza Anadolu Metal Madencilik Isletmeleri AS', '47.8', 'Severe ESG Risk']"
LIDER.E,"['LDR Turizm AS', '30.6', 'High ESG Risk']"
LOGO.E,"['Logo Yazilim Sanayi ve Ticaret AS', '17.2', 'Low ESG Risk']"
MAGEN.E,"['Margun Enerji Uretim Sanayi ve Ticaret AS', '24.3', 'Medium ESG Risk']"
MARTI.E,"['Marti Otel Isletmeleri AS', '36.3', 'High ESG Risk']"
MAVI.E,"['Mavi Giyim Sanayi ve Ticaret AS', '12.5', 'Low ESG Risk']"
MIATK.E,"['MIA Teknoloji AS', '25.9', 'Medium ESG Risk']"
MGROS.E,"['Migros Ticaret AS', '14.7', 'Low ESG Risk']"
MPARK.E,"['MLP Saglik Hizmetleri AS', '32.3', 'High ESG Risk']"
NTHOL.E,"['Net Holding AS', '32.0', 'High ESG Risk']"
NUHCM.E,"['Nuh Cimento Sanayi AS', '29.1', 'Medium ESG Risk']"
ODAS.E,"['Odas Elektrik Uretim Sanayi Ticaret AS', '51.8', 'Severe ESG Risk']"
OTKAR.E,"['Otokar Otomotiv ve Savunma Sanayi AS', '27.1', 'Medium ESG Risk']"
OYAKC.E,"['OYAK Cimento Fabrikalari AS', '34.5', 'High ESG Risk']"
OYYAT.E,"['Oyak Yatirim Menkul Degerler AS', '37.2', 'High ESG Risk']"
OZKGY.E,"['Özak Gayrimenkul Yatirim Ortakligi AS', '23.4', 'Medium ESG Risk']"
PRKME.E,"['Park Elektrik Üretim Madencilik Sanayi ve Ticaret AS', '47.4', 'Severe ESG Risk']"
PGSUS.E,"['Pegasus Hava Tasimaciligi AS', '26.8', 'Medium ESG Risk']"
PENTA.E,"['Penta Teknoloji Ürünleri Dagitim Ticaret AS', '13.9', 'Low ESG Risk']"
PETKM.E,"['Petkim Petrokimya Holding AS', '22.7', 'Medium ESG Risk']"
PNSUT.E,"['Pinar Süt Mamulleri Sanayii AS', '37.2', 'High ESG Risk']"
POLHO.E,"['Polisan Holding AS', '24.5', 'Medium ESG Risk']"
POLTK.E,"['Politeknik Metal Sanayi ve Ticaret AS', '25.6', 'Medium ESG Risk']"
QNBTR.E,"['QNB Bank AS', '28.0', 'Medium ESG Risk']"
RYSAS.E,"['Reysas Tasimacilik Ve Lojistik Ticaret AS', '24.5', 'Medium ESG Risk']"
SARKY.E,"['Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS', '21.5', 'Medium ESG Risk']"
SASA.E,"['Sasa Polyester Sanayi AS', '15.4', 'Low ESG Risk']"
SDTTR.E,"['SDT Uzay ve Savunma Teknolojileri AS', '42.6', 'Severe ESG Risk']"
SKBNK.E,"['Sekerbank TAS', '25.7', 'Medium ESG Risk']"
SELEC.E,"['Selçuk Ecza Deposu Ticaret ve Sanayi AS', '20.2', 'Medium ESG Risk']"
SRVGY.E,"['Servet Gayrimenkul Yatirim Ortakligi AS', '25.0', 'Medium ESG Risk']"
SNGYO.E,"['Sinpas Gayrimenkul Yatirim Ortakligi AS', '24.0', 'Medium ESG Risk']"
SMRTG.E,"['Smart Günes Enerjisi Teknolojileri Arastirma Gelistirme Üretim', '28.8', 'Medium ESG Risk']"
SOKM.E,"['Sok Marketler Ticaret AS', '22.7', 'Medium ESG Risk']"
SUNTK.E,"['SUN Tekstil Sanayi Ve Ticaret AS', '16.3', 'Low ESG Risk']"
SUWEN.E,"['Suwen Tekstil Sanayi Pazarlama AS', '29.4', 'Medium ESG Risk']"
TATGD.E,"['Tat Gida Sanayi AS', '31.2', 'High ESG Risk']"
TAVHL.E,"['TAV Havalimanlari Holding AS', '20.4', 'Medium ESG Risk']"
TKFEN.E,"['Tekfen Holding AS', '26.8', 'Medium ESG Risk']"
TKNSA.E,"['Teknosa Ic ve Dis Ticaret AS', '19.2', 'Low ESG Risk']"
TOASO.E,"['Tofas Turk Otomobil Fabrikasi AS', '19.8', 'Low ESG Risk']"
